v1,v2,v3,v4,v5,v6_1,v6_2,v6_3,v7_1,v7_2,v7_3,v7_4,v7_5,v8_1,v8_2,v9_1,v9_2,v9_3,v9_4,v9_5,v9_6,v9_7,v9_8,v9_9,v9_10,v9_11,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22_1,v22_2,v22_3,v22_4,v22_5,v22_6,v22_7,v22_8,v22_9,v22_10,v23_1,v23_2,v23_3,v23_4,v23_5,v24,v25_1,v25_2,v25_3,v25_4,v25_5,v25_6,v26,v27,v28_1,v28_2,v28_3,v28_4,v28_5,v29_1,v29_2,v30,v31,v32,v33,v34_1,v34_2,v34_3,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,sex
6,1,1,1,1,99,99,99,1,99,99,99,99,3,0,2,4,99,99,99,99,99,99,99,99,99,9,2,9,3,9,9,9,9,9,9,2,2,99,99,99,99,99,99,99,99,99,99,1,3,4,99,99,2,97,99,99,99,99,99,8,2,7,9,9,9,9,99,99,8,9,9,9,99,99,99,300,2,2,8,2,2,98,999,2,1,2
8,1,1,1,1,99,99,99,98,99,99,99,99,99,98,1,2,8,99,99,99,99,99,99,99,99,4,1,9,9,9,9,9,3,9,9,2,2,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,1,97,99,99,99,99,99,2,2,7,9,9,9,9,99,99,4,9,9,9,99,99,99,400,2,2,1,2,2,1,114,1,1,2
8,1,1,1,1,99,99,99,3,99,99,99,99,0,30,1,2,4,99,99,99,99,99,99,99,99,4,8,9,4,9,9,9,9,9,9,2,2,99,99,99,99,99,99,99,99,99,99,3,99,99,99,99,2,97,99,99,99,99,99,8,2,7,9,9,9,9,99,99,4,9,9,9,99,99,99,500,2,2,2,2,2,2,220,2,2,2
6,1,1,1,1,99,99,99,5,99,99,99,99,2,30,2,99,99,99,99,99,99,99,99,99,99,9,8,9,9,9,9,9,9,9,9,2,2,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,2,97,99,99,99,99,99,2,2,7,9,9,9,9,99,99,4,9,9,9,99,99,99,9998,1,2,1,2,2,2,220,2,1,2
5,1,2,1,1,99,99,99,2,5,99,99,99,3,0,1,2,3,10,99,99,99,99,99,99,99,1,1,4,9,9,9,9,9,9,5,2,2,99,99,99,99,99,99,99,99,99,99,96,99,99,99,99,2,1,2,4,5,99,99,3,2,7,9,9,9,9,99,99,1,4,4,9,99,99,99,300,2,2,2,2,2,5,320,5,8,2
8,1,1,1,1,99,99,99,1,5,7,99,99,12,0,1,2,3,4,5,6,8,9,10,99,99,3,1,1,8,4,8,9,4,3,4,2,2,99,99,99,99,99,99,99,99,99,99,96,99,99,99,99,2,5,99,99,99,99,99,2,2,1,2,9,9,9,99,99,4,9,9,9,99,99,99,300,1,1,1,2,2,9,408,9,1,1
6,1,2,1,1,99,99,99,1,99,99,99,99,6,0,1,2,4,99,99,99,99,99,99,99,99,4,1,9,2,9,9,9,9,9,9,2,2,99,99,99,99,99,99,99,99,99,99,4,99,99,99,99,2,4,99,99,99,99,99,2,2,7,9,9,9,9,99,99,2,4,3,9,99,99,99,9998,2,1,1,2,2,1,115,1,1,2
7,1,1,1,1,99,99,99,3,5,99,99,99,1,0,1,2,3,4,5,99,99,99,99,99,99,4,1,2,3,5,9,9,9,9,9,2,2,99,99,99,99,99,99,99,99,99,99,4,99,99,99,99,2,97,99,99,99,99,99,3,2,7,9,9,9,9,99,99,1,3,3,9,99,99,99,9998,1,1,1,1,2,2,236,2,1,2
5,1,1,1,1,99,99,99,5,6,7,99,99,99,98,1,2,3,4,5,6,8,9,10,99,99,4,2,2,4,4,8,9,8,4,4,1,8,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,3,4,5,99,99,99,2,2,2,9,9,9,9,99,99,4,9,9,9,99,99,99,699,1,1,1,1,8,7,318,7,2,2
7,1,2,1,1,99,99,99,98,99,99,99,99,0,10,2,99,99,99,99,99,99,99,99,99,99,9,2,9,9,9,9,9,9,9,9,2,2,99,99,99,99,99,99,99,99,99,99,96,99,99,99,99,2,97,99,99,99,99,99,8,2,3,9,9,9,9,98,99,4,9,9,9,99,99,99,9998,2,2,2,2,2,11,540,11,1,2
