,age,serveTime,ApplyCard,credLimit,Loan,SalPerY,holdCard,Caree
0,,,[],,,,0,2
1,30,36,"['台新', 'Flygo', '玉山', 'Pi']",,0,500000,1,2
2,25,2,"['中信', 'LINEPay', '台新', 'GoGo']",,0,300000,0,2
3,32,36,[],,,,0,4
4,22,,"['台新', 'GoGo']",20000,,260000,0,1
5,,,['小小兵信用卡'],150000,2,360000,1,2
6,23,48,"['花旗', '饗樂卡', '台新', 'GoGo', '渣打']",,3,720000,1,2
7,,,[],,,,0,2
8,,,[],,,,0,2
9,,,[],,,,0,2
10,,48,"['華南', '中信']",60000,0,450000,0,2
11,,,[],,,,0,2
12,22,7,[],,,,0,2
13,,,[],,,,0,2
14,,,[],,,,0,2
15,,,[],,,,0,2
16,,,['Flygo'],,,,0,2
17,,36,[],,0,420000,0,2
18,,1,[],,,,0,2
19,,,[],,,,0,2
20,28,12,['中信'],,1,490000,1,2
21,,,[],,,1300000,0,2
22,,,[],,,360000,0,2
23,,,[],,,,0,2
24,,,[],50000,0,,0,2
25,,,[],,,400000,0,2
26,,24,"['台新', 'GoGo']",,0,,0,3
27,,,[],,,,0,2
28,,,[],,,,0,2
29,24,15,['渣打'],,0,360000,1,2
30,,,[],,,,0,2
31,,,[],,,,0,2
32,,,[],180000,,,0,2
33,,,[],,,,0,1
34,,,[],,,,0,2
35,,,[],,,,0,2
36,22,,[],,,,0,3
37,,,[],,1,,0,2
38,,,[],,,,0,2
39,,,[],,,,0,2
40,,,[],,,,0,2
41,,,[],,,,0,2
42,,,[],,,,0,2
43,,,[],150000,,,0,2
44,,,[],,,,0,2
45,,,[],,3,,0,2
46,,,[],,,500000,0,2
47,30,84,"['永豐', 'dawho']",,0,400000,0,2
48,,,[],,,,0,2
49,,,[],,,,0,2
50,,,[],,,,0,2
51,,,[],,,,0,2
52,,,[],,,,0,2
53,,,[],,,,0,2
54,,,[],,,,0,2
55,,,"['玉山', 'Only']",,,,0,2
56,,,"['玉山', 'Ubear']",,,,0,2
57,,,[],,,,0,2
58,,,"['台新', 'GoGo', '上海商銀']",70000,,,0,2
59,,,[],,,,0,2
60,,,[],200000,,,0,2
61,,,[],,,,0,2
62,,,[],,,,0,2
63,,,[],,0,,0,2
64,,12,[],,0,360000,0,2
65,,,[],,,,0,2
66,,,[],,0,180000,0,1
67,34,12,[],,,500000,1,2
