"x","freq"
"10-12",1
"110",1
"12",1
"15",1
"150",1
"2019",2
"27",1
"30",3
"300",1
"31",1
"500",1
"6.66",1
"7-",8
"90",1
"93",1
"95",1
"app",1
"CAFE",8
"CITY",8
"ELEVEn",8
"ibon",1
"icash",7
"JCB",1
"OP",1
"OPENPOINT",5
"openponit",1
"一下",2
"一口氣",1
"一目瞭然",1
"一定",2
"一張",1
"一塊",1
"一點",1
"十分",1
"上限",2
"千點",2
"小",1
"小編",4
"中",1
"中毒者",1
"今",1
"今天",1
"元",4
"元進",1
"元集",1
"分享",1
"午休",1
"友線",1
"心得",1
"戶",1
"方便",1
"日內",1
"月",1
"止",1
"比例",1
"主場",3
"他行",1
"付款",1
"功能",2
"加值",4
"加辦",1
"加贈",1
"包覆",1
"卡",2
"卡友",1
"卡片",8
"卡面",2
"卡買",1
"卡號",2
"卡優",2
"只",1
"可換",1
"台灣",1
"右下角",1
"外",3
"平日",1
"正卡者",1
"正面",2
"申辦",4
"交易",2
"兆豐",3
"兆豐銀",2
"全部",1
"再來",1
"合作",1
"回饋",4
"好",2
"年",2
"年底",1
"有多神",1
"有效期限",1
"次贈",1
"自動",4
"行",1
"行今",1
"兌換",4
"免費",1
"即可",1
"吸引",1
"完成",1
"完折",1
"完整性",1
"快速",2
"折",3
"折抵",1
"折起",1
"更上一層樓",1
"每月",3
"每杯",1
"每筆",1
"身分",1
"並以",1
"並放上",1
"享",1
"享全品",1
"享有",1
"使用",2
"刷",1
"周邊",1
"咖啡",7
"姓名",1
"所有",1
"服務",1
"杯",2
"杯大熱",1
"杯中",1
"花旗",1
"附近",1
"亮銀色",1
"保持",1
"信用卡",1
"前",2
"前以",1
"威力",2
"封",1
"很想",1
"後",3
"拼圖",1
"持卡人",2
"指定",1
"星光",1
"活動",1
"為過",1
"相信",2
"看到",1
"看看",1
"約",1
"紅利",3
"美式",2
"背面",1
"要用",1
"要辦",1
"計算",1
"首",1
"首次",2
"首刷禮",1
"倍",2
"倍數",1
"原始",1
"原價",1
"唷",2
"展現",1
"拿到",4
"時",2
"核卡",1
"氣宇軒昂",1
"消費",2
"特別",1
"真是",1
"神卡",3
"送",2
"高",2
"假日",1
"側面",1
"商品",1
"商銀",1
"基底",1
"專屬",1
"條件",1
"深深",1
"率",1
"球迷",1
"球隊",1
"票",1
"符合",1
"第二杯",1
"累積",1
"統一",9
"設計",2
"許多",1
"透過",1
"這張",3
"這筆",1
"通路",2
"堪稱",1
"提供",1
"提醒",1
"換到",1
"最近",1
"最後",1
"最神",1
"棒球隊",1
"無論是",1
"發行",1
"等於",1
"買",1
"貼心",1
"超有",1
"超棒",1
"進行",2
"隊伍",1
"隊徽",1
"集中",1
"集團",2
"項",1
"飲料",1
"黑色",2
"填好",1
"愛好者",1
"感受一下",1
"感覺",1
"新",1
"新聞網",2
"新增",2
"新舊",2
"獅",5
"獅的",1
"獅迷",2
"獅隊",1
"當天",1
"當日",1
"萬點",5
"裡",1
"資料",1
"資格",1
"資訊",1
"達",1
"圖",2
"實體",1
"旗下",1
"榮登",1
"精神",1
"網頁",1
"網購",1
"需要",1
"標誌",1
"線",1
"編",1
"衝到",1
"質感",2
"整張",1
"整體",1
"輸入",1
"辦卡",1
"選",1
"選用",1
"選擇",1
"優惠",8
"營造",1
"總共",2
"聯名卡",4
"購票",3
"購買",1
"點",2
"點數",2
"禮",1
"職棒",1
"舊卡",1
"贈",2
"邊條",1
"寶座",1
"贏球",1
"鐵定",1
"霸氣",1
"權益",2
"驗證",1
"體驗",1
"觀賽",1
