,age,card_apply,career,cred_l,h_card,sal,serv_t
0,,"['玉山', 'Ubear', 'Pi', 'Only']",2,,1,330000,
1,,"['永豐', 'dawho']",1,20000,1,0,
10,,[],3,,1,,
100,23,['玉山'],2,,1,450000,
101,21,['玉山'],2,20000,1,330000,16
102,20,[],2,,1,150000,12
103,27,['中信'],2,,1,264000,6
104,23,['中信'],2,250000,0,500000,4
105,,[],3,,1,,3
106,23,[],1,480000,1,850000,3
107,23,['玉山'],2,170000,1,650000,14
108,23,[],2,60000,1,350000,
109,25,['中信'],2,200000,0,700000,8
11,23,"['永豐', 'dawho']",1,80000,1,,12
110,,"['一銀', '星燦', '一銀', '星燦']",2,,1,100000,
111,,[],2,6070000,1,2,
112,,['GoGo'],1,30000,1,,
113,,[],2,,1,0,4
114,,[],2,,1,,
115,,"['永豐', 'dawho']",1,,0,,
116,22,[],1,20000,1,,6
117,,[],2,350000,1,850000,
118,,[],2,,1,,
119,,['永豐'],2,50000,1,60000,
12,,"['玉山', 'Ubear']",1,20000,0,,
120,,[],2,50000,1,,
121,,"['玉山', 'Ubear']",1,30000,0,400000,
122,,[],2,30000,0,,
123,,[],2,50000,1,240000,
124,22,[],1,60000,0,,
125,,"['台新', 'GoGo']",1,30000,0,400000,
126,,['玉山'],1,,1,,1
127,,"['國泰', 'KOKO']",2,20000,1,,
128,24,[],3,,0,544000,
129,,"['Pi', '永豐', 'dawho', 'Ubear', '台新', 'GoGo', 'GoGo', 'Ubear', '玉山', 'GoGo', 'Ubear']",1,110000,1,450000,
13,,['玉山'],3,20000,0,,3
130,,[],2,74000,1,250000,
131,,['中信'],1,,1,,
132,,[],2,20000,1,,36
133,29,[],4,70000,0,,
134,21,[],2,,1,,
135,26,[],2,50000,1,,
136,27,[],2,,1,,
137,,[],2,300000,1,,2
138,22,[],1,50000,1,,
139,22,[],3,80000,0,,3
14,23,[],2,,1,350000,
140,,[],3,,0,,36
141,22,[],2,30000,1,,36
142,,[],2,,1,,1
143,24,"['一銀', '星燦']",2,50000,0,,1
144,22,"['玉山', '兆豐']",2,,1,,
145,23,[],2,,1,600000,
146,25,[],2,400000,1,720000,1
147,23,"['台新', 'GoGo']",2,,1,320000,4
148,,"['玉山', 'Ubear']",2,60000,1,,4
149,,[],2,,1,,45
15,,[],2,,1,,
150,,[],1,,1,,
151,22,[],1,20000,1,300000,12
152,22,"['台新', 'GoGo', '永豐', '中信', '玉山', '玉山']",2,50000,1,,
153,20,['星展'],2,20000,1,220000,7
154,23,[],1,20000,1,,
155,,[],2,,1,,
156,,['GoGo'],2,,1,,0
157,,"['花旗', '饗樂']",1,,1,,
158,,"['玉山', 'Only']",2,30000,1,,
159,,[],2,20000,1,,
16,21,"['永豐', 'dawho']",2,20000,1,,8
160,,[],1,,1,,
161,21,[],2,,1,,24
162,,[],2,,1,180000,
163,,"['台新', 'GoGo']",2,65000,1,,12
164,24,"['玉山', '花旗']",2,,0,544000,2
165,24,"['星展', '炫晶御璽卡']",2,,1,,43
166,,[],3,,1,,
167,,[],1,,1,,
168,23,[],2,2張都30000,0,400000,
169,23,"['台新', 'GoGo']",2,100000,1,,3
17,,"['永豐', 'dawho']",2,,1,,
170,,"['花旗', '饗樂']",2,,1,,3
171,21,"['玉山', 'Pi']",2,,1,150000,2
172,,"['永豐', 'dawho']",1,20000,1,,
173,24,"['玉山', 'Ubear']",2,,1,,
174,,"['玉山', 'Ubear']",2,,1,,7
175,20,['玉山'],2,60000,1,500000,6
176,,[],1,60000,1,,
177,22,[],2,,1,300000,
178,,[],2,100000,1,,
179,,[],2,20000,1,,
18,25,[],2,150000,1,720000,
180,,[],1,150000,1,360000,
181,,['哆啦A夢JCB聯名卡'],1,,1,,11
182,21,[],2,65000,0,250000,
183,,[],2,30000,1,,
184,,[],2,150000,1,,
185,20,[],1,20000,0,,
186,,[],2,30000,1,,
187,,[],1,150000,1,,
188,,[],2,60000,1,,
189,,[],2,20000,1,,
19,20,"['Ubear', 'dawho']",2,,1,,2
