,bank,card,act
0,{'玉山': 14},"{'Only': 7, 'ONLY': 3}","{'機票': 1, '國外': 1, '旅遊': 6, '保費': 1, '海外': 2, '出國': 2}"
1,{'玉山': 10},{'Pi': 18},"{'海外': 2, '國外': 1, '出國': 2, '旅遊': 1, '機票': 1, '機場': 1}"
2,{},{},"{'出國': 3, '旅遊': 12, '機票': 1}"
3,"{'永豐': 1, '中國信託': 1, '台新': 1, 'Richart': 2}",{'大戶': 2},"{'海外': 1, '國外': 11, '旅遊': 2, '出國': 2, '機場': 1, '機票': 1}"
4,"{'中國信託': 1, '玉山': 4, '台新': 3, '永豐': 1, '兆豐': 1, '國泰': 4, '國泰世華': 1}",{},"{'出國': 1, '國外': 1, '旅遊': 2}"
5,{},{},{}
6,{},{},"{'旅遊': 5, '機票': 1, '出國': 1}"
7,{},{},{'保費': 1}
8,"{'中國信託': 4, '國泰世華': 9, '玉山': 10, '永豐': 7, '台新': 2, '兆豐': 2}",{},"{'加油': 23, '中油': 4}"
9,"{'中國信託': 1, '國泰世華': 1, '玉山': 1, '台新': 1, '國泰': 1, '永豐': 1, '兆豐': 1}",{},"{'機場': 52, '出國': 5, '國外': 27, '旅遊': 3, '機票': 62}"
10,"{'玉山': 6, '永豐': 3, '台新': 7, '中信': 1, '國泰世華': 3, '兆豐': 2, 'Richart': 2, 'KOKO': 1}","{'gogo': 2, 'Pi': 1}","{'海外': 15, '旅遊': 2, '國外': 9, '出國': 4, '機票': 2, '保費': 1, '加油': 1, '威秀': 2}"
11,"{'國泰世華': 4, '永豐': 4, '中國信託': 3, '台新': 4, '玉山': 3}",{'LINEPAY': 1},"{'出國': 1, '旅遊': 1, '飯店': 2}"
12,"{'中國信託': 1, '國泰世華': 2, 'KOKO': 2, '玉山': 3, '台新': 5}",{'LINEPAY': 1},"{'電影': 6, '威秀': 6, '國賓': 15}"
13,{'國泰世華': 7},{},"{'國外': 1, '海外': 3, '旅遊': 1, '機場': 1, '電影': 2}"
14,"{'國泰世華': 12, '台新': 1, 'KOKO': 1}",{},{}
15,{'國泰': 6},{},"{'加油': 1, '保險': 9}"
16,{},{},{}
17,{},{},"{'旅遊': 1, '國外': 1, '出國': 1}"
18,"{'國泰世華': 2, '兆豐': 4, '永豐': 1, '玉山': 1, '台新': 3, '中國信託': 1, '中信': 1}",{},{'機票': 4}
19,"{'台新': 8, '國泰世華': 6, '國泰': 1}",{},{}
20,"{'國泰世華': 3, 'KOKO': 4}",{},{'國賓': 1}
21,"{'國泰世華': 8, '中信': 2, '玉山': 1}",{},{}
22,{'玉山': 14},"{'Only': 7, 'ONLY': 3}","{'機票': 1, '國外': 1, '旅遊': 6, '保費': 1, '海外': 2, '出國': 2}"
23,{'玉山': 10},{'Pi': 18},"{'海外': 2, '國外': 1, '出國': 2, '旅遊': 1, '機票': 1, '機場': 1}"
24,{},{},"{'出國': 3, '旅遊': 12, '機票': 1}"
25,"{'永豐': 1, '中國信託': 1, '台新': 1, 'Richart': 2}",{'大戶': 2},"{'海外': 1, '國外': 11, '旅遊': 2, '出國': 2, '機場': 1, '機票': 1}"
26,"{'中國信託': 1, '玉山': 4, '台新': 3, '永豐': 1, '兆豐': 1, '國泰': 4, '國泰世華': 1}",{},"{'出國': 1, '國外': 1, '旅遊': 2}"
27,{},{},{}
28,{},{},"{'旅遊': 5, '機票': 1, '出國': 1}"
29,{},{},{'保費': 1}
30,"{'中國信託': 4, '國泰世華': 9, '玉山': 10, '永豐': 7, '台新': 2, '兆豐': 2}",{},"{'加油': 23, '中油': 4}"
31,"{'中國信託': 1, '國泰世華': 1, '玉山': 1, '台新': 1, '國泰': 1, '永豐': 1, '兆豐': 1}",{},"{'機場': 52, '出國': 5, '國外': 27, '旅遊': 3, '機票': 62}"
32,"{'玉山': 6, '永豐': 3, '台新': 7, '中信': 1, '國泰世華': 3, '兆豐': 2, 'Richart': 2, 'KOKO': 1}","{'gogo': 2, 'Pi': 1}","{'海外': 15, '旅遊': 2, '國外': 9, '出國': 4, '機票': 2, '保費': 1, '加油': 1, '威秀': 2}"
