,bank,card,act
0,玉山,Only,旅遊
1,玉山,拍,海外
2,台新,鑽金,海外
3,台新,LINEPAY,國賓
4,永豐,DAWHO,運動
5,中國信託,GoGo,海外
6,中信,,海外
7,國泰,,電影
8,玉山,Pi,電影
9,國泰世華,,
10,,,
11,玉山,Only,機場
12,,,電影
13,中國信託,御璽,海外
14,國泰世華,,海外
15,KOKO,,海外
16,,,國外
17,台新,gogo,出國
18,,,國外
19,台新,GoGo,出國
20,兆豐,,國外
21,richart,,
22,兆豐,,電影
23,玉山,Pi,電影
24,,,國外
25,國泰世華,,
26,國泰,,
27,中國信託,,海外
28,國泰世華,,
29,中國信託,,機票
30,永豐,,加油
31,,,電影
32,,,威秀
33,,,國外
34,玉山,,加油
35,,,機票
36,國泰,,保險
37,,,機票
38,中國信託,,
39,,,
40,,,機票
41,玉山,Pi,加油
42,,Only,機票
43,中信,御璽,機票
44,中國信託,,機票
45,中國信託,,機票
46,,,旅遊
47,,,
48,國泰世華,,機票
49,國泰,,機票
50,玉山,,加油
51,玉山,,海外
52,台新,,
53,,,旅遊
54,,,保險
55,,,國外
56,,鑽金,海外
57,國泰,,保險
58,,,旅遊
59,兆豐,,
60,台新,,
61,玉山,,
62,永豐,,旅遊
63,,,
64,,,機場
65,,,
66,,,國外
67,中國信託,,中油
68,,,
69,兆豐,,機票
70,中信,,中油
71,KOKO,Pi,國賓
72,中國信託,,海外
73,台新,,機場
74,台新,gogo,保費
75,永豐,,
76,中信,,機票
77,國泰世華,,
78,,,國外
79,,,機場
80,台新,,
81,玉山,,加油
82,國泰,gogo,保費
83,中信,,海外
84,,,加油
85,台新,,中油
86,,御璽,加油
87,,,威秀
88,玉山,,
89,玉山,,電影
90,中信,,機場
91,KOKO,,國賓
92,,,保費
93,國泰,,機場
94,中信,,機場
95,,,
96,中信,,出國
97,,,電影
98,中信,,海外
99,台新,,
100,國泰,,機票
101,,,保險
102,國泰世華,,
103,,,
104,,,旅遊
105,,,機場
106,,,機場
107,,,機場
108,,御璽,電影
109,,,機場
110,,,機票
111,中信,,機票
112,,,機票
113,國泰世華,LINEPAY,飯店
114,玉山,Only,旅遊
115,台新,,
116,,,出國
117,台新,,
118,,,機場
119,,,機場
120,,,機場
121,,,機場
122,,,電影
123,,,機票
124,,,
125,玉山,拍,海外
126,國泰,gogo,出國
127,,,
128,,,
129,中國信託,,
130,玉山,鑽金,電影
131,兆豐,,
132,,,
133,,,國外
134,,,
135,,,機場
136,,,旅遊
137,,,保險
138,,,保險
139,,,海外
140,國泰世華,,飯店
141,永豐,,
142,玉山,,國外
143,國泰世華,,保費
144,玉山,,
145,中信,,機場
146,國泰,拍,機場
147,Richart,大戶,國外
148,玉山,鑽金,國外
149,台新,,
150,,,
151,,,
152,國泰世華,,
153,台新,gogo,
154,國泰,,旅遊
155,,,
156,,,電影
157,中信,,機票
158,玉山,御璽,旅遊
159,,,機票
160,,,機場
161,,,
162,,,
163,,,
164,,Only,
165,,,保險
166,,,
167,,,
168,,only,
169,,,
170,玉山,Pi,海外
171,玉山,Only,旅遊
172,國泰世華,拍,海外
173,玉山,Only,旅遊
174,Richart,Pi,旅遊
175,,,旅遊
176,國泰世華,御璽,機場
177,台新,Flygo,旅遊
178,永豐,大戶,海外
179,玉山,,
180,,,旅遊
181,永豐,大戶,保費
182,兆豐,大戶,海外
183,,拍,
184,,,
185,,,海外
186,台新,,海外
187,永豐,,海外
188,國泰,,機票
189,,,機場
190,兆豐,,海外
191,,,保費
192,永豐,,海外
193,,,電影
194,兆豐,,健身房
195,,,
196,,御璽,加油
197,,,
198,玉山,Pi,保費
199,中國信託,,海外
200,台新,GOGO,
201,,,加油
202,玉山,,加油
203,中國信託,,機場
204,KOKO,御璽,機場
205,,,海外
206,國泰世華,,機場
207,中信,Pi,海外
208,兆豐,,機票
209,玉山,,電影
210,永豐,,海外
211,台新,GoGo,威秀
212,,,國外
213,中國信託,御璽,機票
214,KOKO,,保費
215,兆豐,,
216,中國信託,,機場
217,國泰世華,GoGo,機場
218,永豐,御璽,機場
219,,,海外
220,,,
221,國泰世華,,海外
222,台新,,機場
223,,,旅遊
224,台新,LINEPAY,國賓
225,台新,鑽金,海外
226,,,國外
227,國泰世華,,機場
228,兆豐,,
229,國泰,,機票
230,台新,,機票
231,,,
232,台新,,機場
233,永豐,御璽,機場
234,,,海外
235,國泰世華,,海外
236,國泰世華,LINEPAY,飯店
237,,,國外
238,台新,,海外
239,,,
240,,,
241,,鑽金,海外
242,,,海外
243,,,旅遊
244,,,機票
245,KOKO,Pi,國賓
246,國泰世華,,
247,台新,LINEPAY,國賓
248,台新,,保費
249,台新,鑽金,海外
250,兆豐,,保險
251,玉山,,國外
252,中國信託,御璽,保費
253,,,
254,中國信託,,國外
255,中國信託,,
256,,,機票
257,中國信託,,
258,國泰世華,,海外
259,中國信託,,旅遊
260,,,機場
261,,,電影
262,,,機票
263,兆豐,,機場
264,玉山,,
265,,,海外
266,,,加油
267,,,旅遊
268,,,飯店
269,國泰世華,,
270,玉山,ONLY,旅行
271,玉山,,國賓
272,,,旅遊
273,,,
274,台新,,旅遊
275,,,飯店
276,,,飯店
277,玉山,,旅行
278,台新,flygo,機場
279,玉山,Pi,國外
280,國泰,,保險
281,,only,機票
282,,,保險
283,玉山,UBEAR,加油
284,Richart,FlyGo,海外
285,,,
286,玉山,拍,電影
287,中國信託,,出國
288,玉山,Only,旅遊
289,台新,GoGo,海外
290,玉山,Pi,機票
291,,,
292,玉山,,電影
293,,,飯店
294,玉山,,威秀
295,,,飯店
296,玉山,gogo,
297,玉山,,加油
298,,,旅遊
299,,,
300,,,旅遊
301,國泰世華,,海外
302,,,旅遊
303,玉山,Ubear,威秀
304,中信,,
305,玉山,ONLY,
306,,,
307,,,國外
308,國泰世華,,運動
309,玉山,Ubear,
310,玉山,UBear,威秀
311,玉山,Pi,機票
312,,,
313,兆豐,,機票
314,,,機票
315,KOKO,UBEAR,國賓
316,國泰世華,,機票
317,,,國外
318,玉山,,
319,,,出國
320,國泰,GOGO,海外
321,玉山,Pi,海外
322,,,
323,台新,Pi,國外
324,台新,,
325,永豐,,保費
326,,,出國
327,中國信託,,
328,,,旅遊
329,,,飯店
330,玉山,Pi,
331,,拍,旅行
332,,,機票
333,,,
334,玉山,Ubear,
335,國泰世華,,海外
336,KOKO,,國賓
337,,,旅行
338,玉山,Ubear,電影
339,,,
340,,,國外
341,,,旅遊
342,永豐,DAWHO,
343,永豐,DAWHO,國外
344,國泰,御璽,
345,永豐,DAWHO,國外
346,國泰世華,,
347,國泰世華,,
348,永豐,Dawho,出國
349,玉山,ONLY,運動
350,KOKO,,運動
351,,,電影
352,,,旅行
353,玉山,Only,機票
354,台新,,電影
355,,,機場
356,中國信託,,
357,,,旅行
358,,,保費
359,中信,,機場
360,,鑽金,海外
361,,,機票
362,,,旅行
363,,,國外
364,,,旅行
365,,,海外
366,玉山,Ubear,電影
367,,,機場
368,兆豐,,旅遊
369,兆豐,,
370,,,旅行
371,玉山,Only,國外
372,中國信託,拍,海外
373,,,
374,,,旅遊
375,,,旅行
376,,,
377,,,
378,,,旅遊
379,,,旅遊
380,中信,,
381,,,機票
382,國泰世華,,
383,,,
384,玉山,,旅行
385,,,加油
386,,,出國
387,,,機場
388,玉山,,國外
389,,,電影
390,玉山,Only,國外
391,,,
392,中國信託,,
393,玉山,GOGO,電影
394,中國信託,,
395,,,
396,,,
397,台新,,旅遊
398,玉山,,
399,,御璽,旅行
400,玉山,拍,保費
401,,,旅行
402,,,
403,玉山,,電影
404,,,國外
405,玉山,Pi,旅遊
406,台新,gogo,國外
407,中國信託,,
408,永豐,,旅行
409,玉山,Pi,飯店
410,,,旅行
411,,,
412,KOKO,,運動
413,,,
414,,,旅行
415,,,海外
416,,,機票
417,,拍,國外
418,玉山,only,保費
419,,,旅行
420,,,機場
421,兆豐,,旅行
422,,,旅行
423,玉山,Pi,國外
424,,,海外
425,永豐,大戶,旅遊
426,,,旅行
427,台新,LINEPAY,
428,,,旅行
429,台新,GoGo,國外
430,國泰世華,,
431,台新,,機票
432,玉山,Pi,
433,中國信託,,
434,,,旅行
435,,,
436,,,保險
437,,,機票
438,國泰世華,,
439,Richart,gogo,
440,,,
441,,,威秀
442,,,機場
443,,,海外
444,,,機票
445,國泰,,
446,國泰世華,,
447,玉山,,
448,,,旅行
449,KOKO,,
450,Richart,,
451,,,
452,中國信託,,
453,,,
454,,,
455,,,
456,,,旅行
457,,鑽金,海外
458,台新,,
459,,,
460,,,
461,,,
462,,,
463,永豐,,
464,,,機場
465,玉山,ubear,旅遊
466,,,機場
467,台新,LINEPAY,出國
468,永豐,DAWHO,
469,,,
470,中國信託,,運動
471,,,出國
472,玉山,,
473,玉山,FlyGo,
474,,,
475,中國信託,,機票
476,,,
477,,,加油
478,玉山,Pi,出國
479,,,旅行
480,,,
481,,,
482,,,
483,Richart,GOGO,
484,,,旅行
485,,,
486,,,
487,玉山,,國外
488,,,機場
489,中國信託,,
490,玉山,,電影
491,兆豐,Only,旅遊
492,,,旅行
493,玉山,Pi,電影
494,,,旅行
495,,,海外
496,永豐,,保費
497,Richart,PI,國外
498,玉山,,威秀
499,,,國外
500,,,機票
501,中國信託,,
502,中信,,
503,,,機場
504,台新,,
505,,,旅平險
506,國泰,,
507,,,飯店
508,,,出國
509,,,國外
510,,,國外
511,,,旅行
512,,,
513,,,
514,,,
515,玉山,大戶,國外
516,,,加油
517,國泰,,飯店
518,Richart,GoGo,
519,,,國外
520,,,
521,,,旅行
522,中信,,機場
523,,,海外
524,,,
525,台新,,
526,,,
527,KOKO,GoGo,
528,,,
529,,,
530,,,
531,,,
532,台新,GOGO,
533,,,機場
534,,,機場
535,,,
536,,,機票
537,,,出國
538,玉山,Only,飯店
539,,,
540,玉山,,旅遊
541,,,
542,Richart,FlyGo,出國
543,國泰世華,,
544,,,
545,,,
546,,,海外
547,永豐,大戶,
548,中國信託,,加油
549,,,機票
550,,,運動
551,,,
552,,,
553,,,旅行
554,台新,,
555,,,旅行
556,,,
557,國泰,,保險
558,,,旅遊
559,玉山,,國外
560,玉山,Pi,保險
561,,,
562,中國信託,,
563,永豐,,保險
564,,,
565,永豐,LINEPAY,
566,,,機場
567,玉山,PI,
568,兆豐,,保險
569,兆豐,御璽,旅遊
570,,,海外
571,,拍,海外
572,,,
573,中國信託,,
574,玉山,Only,飯店
575,,only,
576,玉山,,
577,,,國外
578,兆豐,,
579,Richart,GoGo,國外
580,,,
581,中國信託,,運動
582,,,
583,中國信託,,電影
584,,,
585,,,國外
586,玉山,gogo,國賓
587,,拍,旅行
588,,,跑步
589,,,機票
590,,,保險
591,,,
592,永豐,,
593,,,
594,中國信託,,電影
595,,,機票
596,,,電影
597,國泰,御璽,加油
598,中國信託,,
599,,,
600,,,海外
601,,,電影
602,,,
603,,,海外
604,兆豐,,
605,玉山,,國外
606,中國信託,,
607,中國信託,,旅行
608,玉山,,機場
609,玉山,,
610,,,機票
611,,,出國
612,,,海外
613,,,
614,,,飯店
615,中國信託,,旅遊
616,玉山,Pi,保險
617,中國信託,,加油
618,,,
619,,,旅遊
620,,,機場
621,Richart,FlyGo,海外
622,,,保費
623,,,機場
624,,,機場
625,,,電影
626,,,運動
627,,,
628,永豐,,
629,中國信託,,出國
630,,,
631,,,海外
632,,拍,機場
633,中國信託,,
634,,,
635,,,
636,,,海外
637,,,保險
638,中國信託,,海外
639,中國信託,,電影
640,,,
641,中國信託,Only,加油
642,,,
643,,,電影
644,,,國外
645,,,保費
646,,,
647,中國信託,,
648,,,出國
649,,,電影
650,,,
651,,,運動
652,中國信託,,
653,國泰世華,,
654,台新,Pi,國外
655,,,電影
656,中國信託,,
657,,,
658,玉山,,電影
659,Richart,gogo,
660,台新,,機票
661,,,
662,台新,,機票
663,,,
664,,,海外
665,,,電影
666,中國信託,,出國
667,,,旅行
668,,,
669,,,旅行
670,兆豐,,出國
671,玉山,UBear,電影
672,,,
673,中國信託,,電影
674,,,
675,,,
676,,,
677,,,加油
678,中信,,國外
679,中國信託,,旅行
680,,,
681,,拍,加油
682,中國信託,,
683,,,海外
684,,,
685,中國信託,,運動
686,,,
687,,,
688,,,出國
689,,,
690,,,機場
691,,,
692,玉山,Pi,
693,,,
694,KOKO,,國賓
695,,,
696,中國信託,,出國
697,中國信託,,
698,玉山,PI,
699,,,
700,,,
701,中國信託,,
702,,,
703,,,飯店
704,,,
705,台新,御璽,機場
706,,,加油
707,,,海外
708,,,飯店
709,中國信託,,機票
710,中國信託,,
711,,,旅遊
712,,,出國
713,國泰,,國外
714,,,
715,,,
716,,,
717,,,
718,,,海外
719,,,機票
720,中國信託,,
721,,,
722,中國信託,,旅行
723,,,國外
724,,,機場
725,,,
726,,,電影
727,,,
728,中國信託,Pi,
729,,,機場
730,,,機票
731,,,
732,,,旅遊
733,,,國外
734,玉山,,出國
735,,,
736,,,
737,Richart,GoGo,國外
738,,拍,旅行
739,,,
740,玉山,,
741,,,機票
742,,,海外
743,,,
744,玉山,,
745,中信,,旅遊
746,台新,,海外
747,,,出國
748,,,
749,,,海外
750,,,保費
751,,,
752,,,
753,,,出國
754,KOKO,,
755,國泰世華,,機場
756,,,
757,,,國外
758,中國信託,,
759,國泰,Flygo,機場
760,中國信託,,電影
761,,,
762,中國信託,,出國
763,中國信託,,出國
764,玉山,Only,旅遊
765,Richart,gogo,
766,,,出國
767,,,
768,玉山,,
769,,,保費
770,,,旅行
771,,,機票
772,,,飯店
773,中國信託,,運動
774,中國信託,,
775,,,旅行
776,中國信託,,出國
777,,,
778,,,旅平險
779,,,旅遊
780,,,加油
781,,拍,機場
782,中國信託,,出國
783,,,
784,兆豐,,出國
785,,鑽金,出國
786,,,保費
787,中國信託,,出國
788,,,旅行
789,,,
790,永豐,,
791,中國信託,,
792,,,國外
793,,LINEPAY,
794,,,電影
795,台新,,出國
796,中國信託,,出國
797,,,
798,,,
799,,,機場
800,台新,,電影
801,,,保費
802,,,
803,,,
804,中國信託,,運動
805,,,機場
806,,,
807,,,
808,,,旅遊
809,,,國外
810,台新,,保費
811,,拍,機場
812,,,
813,兆豐,FlyGo,旅遊
814,,,機場
815,,,
816,,,海外
817,,拍,電影
818,台新,,保費
819,,,運動
820,,,
821,玉山,,出國
822,,,
823,中國信託,,
824,,,機票
825,,,
826,玉山,,
827,兆豐,,保險
828,玉山,拍,威秀
829,兆豐,,出國
830,,,電影
831,,,機票
832,,,
833,,,海外
834,中信,,
835,,拍,
836,,,海外
837,,,機票
838,,,旅行
839,台新,,機場
840,,,
841,,,出國
842,中國信託,,出國
843,,,機票
844,,,飯店
845,兆豐,,出國
846,國泰世華,,
847,,,電影
848,台新,鑽金,國外
849,玉山,,
850,台新,,出國
851,,,保費
852,,,旅行
853,,,旅行
854,中信,,加油
855,,,
856,Richart,,
857,,,
858,,,
859,,,機票
860,,,
861,,,海外
862,,,機票
863,,,
864,中信,,
865,兆豐,,出國
866,台新,,保險
867,兆豐,,
868,兆豐,,機票
869,,,旅行
870,,,機票
871,,,海外
872,,,旅行
873,,,
874,,,
875,,,保費
876,,,
877,,,
878,,,出國
879,,拍,
880,,,
881,,,
